latitude,longitude,bright_ti4,scan,track,type
3.16829,98.3953,338.9,0.39,0.36,1
1.70083,98.81477,330.5,0.39,0.36,0
3.17165,98.39491,332.3,0.39,0.36,1
3.17111,98.3914,333.6,0.39,0.36,1
-1.81877,136.75549,333.6,0.48,0.4,3
-3.20915,140.8719,321.7,0.39,0.36,2
-2.57821,121.37643,347.4,0.5,0.49,2
-1.87973,115.89114,300.5,0.39,0.36,2
-2.58346,121.38059,305.1,0.5,0.49,2
-2.57368,121.37705,297.1,0.5,0.49,2
-2.57749,121.37173,299,0.5,0.49,2
-2.58203,121.37119,296.1,0.5,0.49,2
-2.58274,121.37588,318.5,0.5,0.49,2
-2.57893,121.38116,309.5,0.5,0.49,2
-8.19987,119.07375,334.8,0.42,0.46,1
-8.1992,119.0692,296.7,0.42,0.45,1
-8.20052,119.07391,334.5,0.42,0.46,1
-8.34207,115.50753,332.2,0.42,0.37,3
-8.34552,115.50703,329.6,0.42,0.37,3
-7.42719,140.33546,335.2,0.32,0.54,3
-4.3227,139.06459,334.2,0.59,0.53,0
-3.90893,138.42186,331.4,0.54,0.51,0
-3.95455,138.94968,341.2,0.59,0.53,0
-3.72042,138.19673,332.1,0.53,0.5,0
-1.81708,136.75722,341,0.45,0.47,3
-3.85094,136.43411,340.4,0.4,0.44,3
-4.03194,136.31606,341.3,0.39,0.44,0
-3.9592,138.9516,329.2,0.59,0.53,0
-1.8184,136.75764,342.8,0.45,0.47,3
-3.69201,138.31438,334.5,0.54,0.51,0
-3.66699,138.97772,338.6,0.6,0.53,0
-4.41794,123.03399,367,0.32,0.55,0
-4.41753,123.03674,327.2,0.32,0.55,0
-3.9565,138.94777,342.2,0.59,0.53,0
-4.42135,123.03522,349.9,0.32,0.55,0
-2.66314,140.45386,333.7,0.39,0.59,0
-0.78838,133.78889,339.4,0.47,0.4,0
-0.9974,134.02788,329.2,0.48,0.4,0
-1.25824,133.81004,333.9,0.46,0.39,0
-0.99674,134.0322,329.6,0.48,0.4,3
-1.27894,133.86867,341.6,0.47,0.4,0
-1.19957,133.87764,329.4,0.47,0.4,0
-2.54678,103.40759,337.4,0.42,0.38,0
-2.54735,103.4038,330.5,0.42,0.38,0
-2.38289,106.20704,333.6,0.39,0.36,0
-2.68036,106.67394,343.7,0.39,0.36,0
-3.81842,102.90318,340.8,0.45,0.39,0
1.97488,99.11435,341.4,0.42,0.45,0
2.57225,97.9596,342.3,0.49,0.48,0
2.62081,97.97861,325.4,0.48,0.48,0
2.582,98.02103,328,0.48,0.48,0
3.00481,97.56239,328.3,0.51,0.49,0
3.00529,97.56033,325.9,0.51,0.49,0
4.49051,96.1428,339.4,0.6,0.53,0
4.48852,96.14631,339.1,0.6,0.53,0
-0.58251,117.38629,303.5,0.44,0.38,2
-1.32955,122.49013,304.5,0.44,0.39,0
-0.96353,117.14861,318.8,0.44,0.39,3
-2.57348,121.3772,319.4,0.41,0.37,2
-2.57691,121.37669,342,0.41,0.37,2
-2.58034,121.37617,329.2,0.41,0.37,2
-2.58092,121.37992,306.5,0.41,0.37,2
-2.57749,121.38042,310.3,0.41,0.37,2
-2.14186,115.58073,295.7,0.51,0.41,0
-2.57006,121.37773,309.9,0.41,0.37,2
-2.14506,115.58307,300.1,0.51,0.41,0
-8.19968,119.06923,328.7,0.39,0.36,1
-8.2014,119.08021,334,0.39,0.36,1
-8.19632,119.06965,328.2,0.39,0.36,1
-8.20023,119.07281,331.3,0.39,0.36,1
-8.19689,119.07326,317,0.39,0.36,1
-8.19806,119.08073,295.4,0.39,0.36,1
5.45266,95.2467,303.4,0.39,0.36,0
-5.79909,139.50253,339.9,0.46,0.39,0
-3.84077,137.87,332.1,0.41,0.37,0
-3.68836,138.01994,332.7,0.42,0.38,0
-4.24486,139.09668,331,0.46,0.39,0
